Frame,Entities,FPS
80,411.0,688.5
81,416.0,678.4
82,421.0,668.5
83,426.0,658.7666666666667
84,431.0,649.4
85,436.0,639.9666666666667
86,441.0,630.6666666666666
87,446.0,621.5333333333333
88,451.0,612.3666666666667
89,456.0,603.4333333333333
90,461.0,594.6
91,466.0,585.8
92,471.0,576.7333333333333
93,476.0,568.0
94,481.0,559.3
95,486.0,551.0
96,491.0,542.8
97,496.0,534.9333333333333
98,501.0,526.9333333333333
99,506.0,519.0333333333333
100,511.0,511.46666666666664
101,516.0,503.9
102,521.0,496.56666666666666
103,526.0,489.26666666666665
104,531.0,482.1666666666667
105,536.0,474.96666666666664
106,541.0,468.0
107,546.0,460.9
108,551.0,453.76666666666665
109,556.0,446.8666666666667
110,561.0,440.1
111,566.0,433.6333333333333
112,571.0,427.1666666666667
113,576.0,420.93333333333334
114,581.0,414.76666666666665
115,586.0,408.7
116,591.0,402.73333333333335
117,596.0,396.73333333333335
118,601.0,390.8333333333333
119,606.0,385.3
120,611.0,379.56666666666666
121,616.0,373.76666666666665
122,621.0,368.1666666666667
123,626.0,362.76666666666665
124,631.0,357.43333333333334
125,636.0,352.1333333333333
126,641.0,347.0
127,646.0,341.9
128,651.0,336.76666666666665
129,656.0,331.7
130,661.0,326.56666666666666
131,666.0,321.8666666666667
132,671.0,316.93333333333334
133,676.0,312.26666666666665
134,681.0,307.8
135,686.0,303.23333333333335
136,691.0,298.8
137,696.0,294.4
138,701.0,289.96666666666664
139,706.0,285.56666666666666
140,711.0,281.23333333333335
141,716.0,277.3
142,721.0,273.1
143,726.0,269.3
144,731.0,265.26666666666665
145,736.0,261.4
146,741.0,257.56666666666666
147,746.0,253.86666666666667
148,751.0,250.23333333333332
149,756.0,246.6
150,761.0,243.13333333333333
151,766.0,239.6
152,771.0,236.3
153,776.0,232.9
154,781.0,229.53333333333333
155,786.0,226.3
156,791.0,223.23333333333332
157,796.0,220.0
158,801.0,216.86666666666667
159,806.0,213.83333333333334
160,811.0,210.83333333333334
161,816.0,207.9
162,821.0,204.93333333333334
163,826.0,201.93333333333334
164,831.0,199.1
165,836.0,196.4
166,841.0,193.6
167,846.0,190.83333333333334
168,851.0,188.3
169,856.0,185.46666666666667
170,861.0,182.43333333333334
171,866.0,178.8
172,871.0,175.06666666666666
173,876.0,170.0
174,881.0,162.83333333333334
175,886.0,150.86666666666667
176,891.0,136.33333333333334
177,896.0,122.4
178,901.0,111.53333333333333
179,906.0,103.2
180,911.0,97.0
181,916.0,91.56666666666666
182,921.0,87.13333333333334
183,926.0,83.03333333333333
184,931.0,79.46666666666667
185,936.0,76.26666666666667
186,941.0,73.36666666666666
187,946.0,70.56666666666666
188,951.0,68.13333333333334
189,956.0,65.66666666666667
190,961.0,63.56666666666667
191,966.0,61.53333333333333
192,971.0,59.7
193,976.0,57.93333333333333
194,981.0,56.233333333333334
195,986.0,54.63333333333333
196,991.0,53.1
197,996.0,51.6
198,1001.0,50.3
199,1006.0,48.96666666666667
200,1011.0,47.733333333333334
201,1016.0,46.46666666666667
202,1021.0,45.36666666666667
203,1026.0,44.166666666666664
204,1031.0,43.06666666666667
205,1036.0,42.03333333333333
206,1041.0,41.1
207,1046.0,40.166666666666664
208,1051.0,39.2
209,1056.0,38.43333333333333
210,1061.0,37.53333333333333
211,1066.0,36.733333333333334
212,1071.0,35.86666666666667
213,1076.0,35.13333333333333
214,1081.0,34.43333333333333
215,1086.0,33.766666666666666
216,1091.0,33.241379310344826
217,1096.0,32.67857142857143
218,1101.0,32.0
219,1106.0,31.40740740740741
220,1111.0,31.083333333333332
221,1116.0,30.52173913043478
222,1121.0,30.470588235294116
223,1126.0,30.0
224,1131.0,29.9
225,1136.0,29.5
226,1141.0,29.25
227,1146.0,29.0
